origin_time,latitude,longitude,magnitude,depth_km,location,region,magnitude_scale
2013-11-20 02:57:30,46.07,130.53,4.6,8.0,Heilongjiang Huanan,Huanan,M
2017-07-23 07:13:34,45.28,124.77,5.0,10.0,Jilin Songyuan,Songyuan,M
2017-08-15 11:58:16,45.35,124.73,4.6,7.0,Jilin Songyuan,Songyuan,M
2018-01-04 20:21:08,45.28,124.65,4.2,10.0,Jilin Qianguo,Songyuan,M
2018-03-05 06:49:57,45.30,124.72,4.2,10.0,Jilin Qianguo,Songyuan,M
2018-05-28 01:50:52,45.32,124.68,5.7,10.0,Jilin Songyuan,Songyuan,M
2018-09-15 09:13:10,45.27,124.65,4.7,10.0,Jilin Songyuan,Songyuan,M
2018-11-30 15:57:36,45.25,124.70,4.2,9.0,Jilin Songyuan,Songyuan,M
2019-05-18 06:24:48,45.32,124.73,5.1,10.0,Jilin Songyuan,Songyuan,M
2019-06-03 01:47:10,45.30,124.75,4.0,12.0,Jilin Songyuan,Songyuan,M
2020-02-07 08:12:39,48.72,125.23,4.1,7.0,Heilongjiang Nenjiang,Nenjiang,M
2022-03-16 02:44:32,45.25,124.75,4.3,10.0,Jilin Ningjiang,Songyuan,M
