event_no,origin_time,latitude,longitude,magnitude,location,distance_to_well_km
1,2013-11-20 02:57:30,46.07,130.53,4.6,Heilongjiang Huanan,279.99677842708815
2,2017-07-23 07:13:34,45.28,124.77,5.0,Jilin Songyuan,226.1051816347737
3,2017-08-15 11:58:16,45.35,124.73,4.6,Jilin Songyuan,223.3573525234839
4,2018-01-04 20:21:08,45.28,124.65,4.2,Jilin Qianguo,233.16200887753072
5,2018-03-05 06:49:57,45.3,124.72,4.2,Jilin Qianguo,227.56212365568717
6,2018-05-28 01:50:52,45.32,124.68,5.7,Jilin Songyuan,228.49553814357293
7,2018-09-15 09:13:10,45.27,124.65,4.7,Jilin Songyuan,233.88637168264376
8,2018-11-30 15:57:36,45.25,124.7,4.2,Jilin Songyuan,232.41091690524007
9,2019-05-18 06:24:48,45.32,124.73,5.1,Jilin Songyuan,225.5167000802376
10,2019-06-03 01:47:10,45.3,124.75,4.0,Jilin Songyuan,225.79531203236883
11,2020-02-07 08:12:39,48.72,125.23,4.1,Heilongjiang Nenjiang,267.3804497651653
12,2022-03-16 02:44:32,45.25,124.75,4.3,Jilin Ningjiang,229.5052855751076
