date,score,level,n_predictions,month,is_anomaly
2014-01-08,0.1233586128788895,NORMAL,2,1,False
2014-01-09,0.1458116618915693,NORMAL,2,1,False
2014-01-10,0.1593940172392964,NORMAL,2,1,False
2014-01-11,0.1215558985198364,NORMAL,2,1,False
2014-01-12,0.0911628948781663,NORMAL,2,1,False
2014-01-13,0.0903390214303844,NORMAL,2,1,False
2014-01-14,0.0852140313451397,NORMAL,2,1,False
2014-01-15,0.1185296748693222,NORMAL,3,1,False
2014-01-16,0.0994502679120922,NORMAL,3,1,False
2014-01-17,0.1093695208298757,NORMAL,3,1,False
2014-01-18,0.1523721570818002,NORMAL,3,1,False
2014-01-19,0.120020151426825,NORMAL,3,1,False
2014-01-20,0.1716100340261211,NORMAL,3,1,False
2014-01-21,0.170801972320141,NORMAL,3,1,False
2014-01-22,0.271508454423485,NORMAL,4,1,False
2014-01-23,0.3702072566020005,NORMAL,4,1,False
2014-01-24,0.3204103826555194,NORMAL,4,1,False
2014-01-25,0.2668238665458628,NORMAL,4,1,False
2014-01-26,0.3036626198340948,NORMAL,4,1,False
2014-01-27,0.3297795925207971,NORMAL,4,1,False
2014-01-28,0.2457135660257722,NORMAL,4,1,False
2014-01-29,0.3268476442430284,NORMAL,5,1,False
2014-01-30,0.4335937445391239,NORMAL,5,1,False
2014-01-31,0.2430560296839003,NORMAL,4,1,False
2014-02-01,0.3228693261161803,NORMAL,4,2,False
2014-02-02,0.3797963356726094,NORMAL,4,2,False
2014-02-03,0.2757142588532796,NORMAL,4,2,False
2014-02-04,0.2129955392046643,NORMAL,4,2,False
2014-02-05,0.289529038352784,NORMAL,5,2,False
2014-02-06,0.1246949372717509,NORMAL,5,2,False
2014-02-07,0.0951683136762301,NORMAL,4,2,False
2014-02-08,0.0499612469989969,NORMAL,4,2,False
2014-02-09,0.0431846666086966,NORMAL,4,2,False
2014-02-10,0.0297734349797451,NORMAL,4,2,False
2014-02-11,0.0594803076832728,NORMAL,4,2,False
2014-02-12,0.0364168156547881,NORMAL,5,2,False
2014-02-13,0.0595280270326206,NORMAL,5,2,False
2014-02-14,0.0293699763185344,NORMAL,4,2,False
2014-02-15,0.0556617325573709,NORMAL,4,2,False
2014-02-16,0.011372528949194,NORMAL,4,2,False
2014-02-17,0.0188330349557699,NORMAL,4,2,False
2014-02-18,0.0246809508145583,NORMAL,4,2,False
2014-02-19,0.0297208912074962,NORMAL,5,2,False
2014-02-20,0.0616367903761696,NORMAL,5,2,False
2014-02-21,0.0622428579416856,NORMAL,4,2,False
2014-02-22,0.0408194921389565,NORMAL,4,2,False
2014-02-23,0.0338822422975342,NORMAL,4,2,False
2014-02-24,0.0108492725157455,NORMAL,4,2,False
2014-02-25,0.0091095043161109,NORMAL,4,2,False
2014-02-26,0.0381396362209379,NORMAL,5,2,False
2014-02-27,0.0819753449828162,NORMAL,5,2,False
2014-02-28,0.0078342877655295,NORMAL,4,2,False
2014-03-01,0.0411472841401258,NORMAL,4,3,False
2014-03-02,0.0039476480261715,NORMAL,4,3,False
2014-03-03,0.0497355336528453,NORMAL,4,3,False
2014-03-04,0.0567890141225108,NORMAL,4,3,False
2014-03-05,0.1306619957691602,NORMAL,5,3,False
2014-03-06,0.1441524495109463,NORMAL,5,3,False
2014-03-07,0.1552904390282594,NORMAL,4,3,False
2014-03-08,0.1251844629094339,NORMAL,4,3,False
2014-03-09,0.1343745088280604,NORMAL,4,3,False
2014-03-10,0.1516796833905997,NORMAL,4,3,False
2014-03-11,0.1319233672233648,NORMAL,4,3,False
2014-03-12,0.2220390953686729,NORMAL,5,3,False
2014-03-13,0.2495244021400255,NORMAL,5,3,False
2014-03-14,0.1968431444622634,NORMAL,4,3,False
2014-03-15,0.1870076793669837,NORMAL,4,3,False
2014-03-16,0.2217618345001109,NORMAL,4,3,False
2014-03-17,0.2035695657558568,NORMAL,4,3,False
2014-03-18,0.202036837397407,NORMAL,4,3,False
2014-03-19,0.3675794677635974,CRITICAL,5,3,True
2014-03-20,0.3229406267383742,WARNING,5,3,True
2014-03-21,0.347637895528662,CRITICAL,4,3,True
2014-03-22,0.3533834602921661,WARNING,4,3,True
2014-03-23,0.3559232123477397,WARNING,4,3,True
2014-03-24,0.2963251402903166,NORMAL,4,3,False
2014-03-25,0.2991218433353181,NORMAL,4,3,False
2014-03-26,0.3824729578362703,CRITICAL,5,3,True
2014-03-27,0.3050718730351091,NORMAL,5,3,False
2014-03-28,0.322082996403152,NORMAL,4,3,False
2014-03-29,0.3640596882900249,WARNING,4,3,True
2014-03-30,0.3610085800381757,WARNING,4,3,True
2014-03-31,0.3676042942476273,CRITICAL,4,3,True
2014-04-01,0.3971063772234968,CRITICAL,4,4,True
2014-04-02,0.4670374466562088,CRITICAL,5,4,True
2014-04-03,0.505852550327041,CRITICAL,5,4,True
2014-04-04,0.4700563834873905,CRITICAL,4,4,True
2014-04-05,0.4835258806584974,CRITICAL,4,4,True
2014-04-06,0.4514574930711664,CRITICAL,4,4,True
2014-04-07,0.3992951872043837,WARNING,4,4,True
2014-04-08,0.4036233260204973,WARNING,4,4,True
2014-04-09,0.3660388545031977,NORMAL,5,4,False
2014-04-10,0.4040758926028199,WARNING,5,4,True
2014-04-11,0.3657459457170838,NORMAL,4,4,False
2014-04-12,0.3963562577501023,WARNING,4,4,True
2014-04-13,0.4054245208835176,WARNING,4,4,True
2014-04-14,0.3270518916030167,NORMAL,4,4,False
2014-04-15,0.3737619437722932,NORMAL,4,4,False
2014-04-16,0.3129869530299508,NORMAL,5,4,False
2014-04-17,0.2179812232814679,NORMAL,5,4,False
2014-04-18,0.3296872436362332,NORMAL,4,4,False
2014-04-19,0.3103389218456308,NORMAL,4,4,False
2014-04-20,0.25006203386869,NORMAL,4,4,False
2014-04-21,0.2436679216865554,NORMAL,4,4,False
2014-04-22,0.2412512241871767,NORMAL,4,4,False
2014-04-23,0.0158499491056242,NORMAL,5,4,False
2014-04-24,0.0252918944380442,NORMAL,5,4,False
2014-04-25,0.0437753898220303,NORMAL,4,4,False
2014-04-26,0.059024638938309,NORMAL,4,4,False
2014-04-27,0.0903432101657233,NORMAL,4,4,False
2014-04-28,0.1217104773428069,NORMAL,4,4,False
2014-04-29,0.1051067420792551,NORMAL,4,4,False
2014-04-30,0.0845906167437247,NORMAL,5,4,False
2014-05-01,0.0553527210646255,NORMAL,5,5,False
2014-05-02,0.1066404460228338,NORMAL,4,5,False
2014-05-03,0.1201241839192409,NORMAL,4,5,False
2014-05-04,0.1090364708705192,NORMAL,4,5,False
2014-05-05,0.121127351322493,NORMAL,4,5,False
2014-05-06,0.1345879708547762,NORMAL,4,5,False
2014-05-07,0.2830301279731146,NORMAL,5,5,False
2014-05-08,0.2549565367129761,NORMAL,5,5,False
2014-05-09,0.2305440892961714,NORMAL,4,5,False
2014-05-10,0.2121238721413816,NORMAL,4,5,False
2014-05-11,0.1999509768817004,NORMAL,4,5,False
2014-05-12,0.2848932970459644,NORMAL,4,5,False
2014-05-13,0.2491672147988601,NORMAL,4,5,False
2014-05-14,0.3965390801470825,WARNING,5,5,True
2014-05-15,0.5209448056006656,CRITICAL,5,5,True
2014-05-16,0.4629806894237812,CRITICAL,4,5,True
2014-05-17,0.4072370760771762,WARNING,4,5,True
2014-05-18,0.4277102100134107,WARNING,4,5,True
2014-05-19,0.396089753683762,NORMAL,4,5,False
2014-05-20,0.4114454746606134,WARNING,4,5,True
2014-05-21,0.5038157153402675,CRITICAL,5,5,True
2014-05-22,0.503581398677192,CRITICAL,5,5,True
2014-05-23,0.4774004676645987,CRITICAL,4,5,True
2014-05-24,0.4518798179551159,WARNING,4,5,True
2014-05-25,0.4477009605054084,WARNING,4,5,True
2014-05-26,0.4464962547658093,WARNING,4,5,True
2014-05-27,0.4431783268601352,WARNING,4,5,True
2014-05-28,0.4584740911460179,WARNING,5,5,True
2014-05-29,0.4371867270853892,NORMAL,5,5,False
2014-05-30,0.3921182396496507,NORMAL,4,5,False
2014-05-31,0.3593118636447363,NORMAL,4,5,False
2014-06-01,0.3460112542412339,NORMAL,4,6,False
2014-06-02,0.3148969469779842,NORMAL,4,6,False
2014-06-03,0.3106794950925658,NORMAL,4,6,False
2014-06-04,0.1919298205850544,NORMAL,5,6,False
2014-06-05,0.1761391990144147,NORMAL,5,6,False
2014-06-06,0.1399951947518413,NORMAL,4,6,False
2014-06-07,0.1415895950630704,NORMAL,4,6,False
2014-06-08,0.1466183089111561,NORMAL,4,6,False
2014-06-09,0.173515900112913,NORMAL,4,6,False
2014-06-10,0.1344288056951505,NORMAL,4,6,False
2014-06-11,0.0172620325340022,NORMAL,5,6,False
2014-06-12,0.0599560725166223,NORMAL,5,6,False
2014-06-13,0.0848067531368603,NORMAL,4,6,False
2014-06-14,0.1097022175362974,NORMAL,4,6,False
2014-06-15,0.1377916580356773,NORMAL,4,6,False
2014-06-16,0.1560195408677373,NORMAL,4,6,False
2014-06-17,0.1724520589351622,NORMAL,4,6,False
2014-06-18,0.3330374683810754,NORMAL,5,6,False
2014-06-19,0.3621297101798278,NORMAL,5,6,False
2014-06-20,0.3689169712739717,NORMAL,4,6,False
2014-06-21,0.3735393864461665,NORMAL,4,6,False
2014-06-22,0.3746464749801179,NORMAL,4,6,False
2014-06-23,0.372205669505723,NORMAL,4,6,False
2014-06-24,0.3815451524636526,NORMAL,4,6,False
2014-06-25,0.4199368501431019,NORMAL,5,6,False
2014-06-26,0.3599648673008051,NORMAL,5,6,False
2014-06-27,0.2928398155111426,NORMAL,4,6,False
2014-06-28,0.3037217723983093,NORMAL,4,6,False
2014-06-29,0.3265163246853387,NORMAL,4,6,False
2014-06-30,0.3600091739709113,NORMAL,4,6,False
2014-07-01,0.3823747909484354,NORMAL,4,7,False
2014-07-02,0.3824782236144223,NORMAL,5,7,False
2014-07-03,0.3838028478129809,NORMAL,5,7,False
2014-07-04,0.4132784684728511,NORMAL,4,7,False
2014-07-05,0.4470529930924119,WARNING,4,7,True
2014-07-06,0.4238499964881831,NORMAL,4,7,False
2014-07-07,0.4329835395552598,WARNING,4,7,True
2014-07-08,0.3986458707176188,NORMAL,4,7,False
2014-07-09,0.3376648582414353,NORMAL,5,7,False
2014-07-10,0.3398666161066181,NORMAL,5,7,False
2014-07-11,0.3537055262673559,NORMAL,4,7,False
2014-07-12,0.3634139886195835,NORMAL,4,7,False
2014-07-13,0.3717605928923741,NORMAL,4,7,False
2014-07-14,0.3933316786818449,NORMAL,4,7,False
2014-07-15,0.4090655149682169,NORMAL,4,7,False
2014-07-16,0.4055271681352242,NORMAL,5,7,False
2014-07-17,0.3071411468116856,NORMAL,5,7,False
2014-07-18,0.2821464151016313,NORMAL,4,7,False
2014-07-19,0.2802162457732727,NORMAL,4,7,False
2014-07-20,0.272663062175581,NORMAL,4,7,False
2014-07-21,0.2419846584453155,NORMAL,4,7,False
2014-07-22,0.2684169768032189,NORMAL,4,7,False
2014-07-23,0.1993938891539518,NORMAL,5,7,False
2014-07-24,0.1492857482952003,NORMAL,5,7,False
2014-07-25,0.2017763738455977,NORMAL,4,7,False
2014-07-26,0.2074952255976639,NORMAL,4,7,False
2014-07-27,0.211431522323155,NORMAL,4,7,False
2014-07-28,0.2280989427575057,NORMAL,4,7,False
2014-07-29,0.2120609258677952,NORMAL,4,7,False
2014-07-30,0.1375828718314707,NORMAL,5,7,False
2014-07-31,0.0317786949881718,NORMAL,5,7,False
2014-08-01,0.0357274001195851,NORMAL,4,8,False
2014-08-02,0.0279897408349175,NORMAL,4,8,False
2014-08-03,0.0434638413369843,NORMAL,4,8,False
2014-08-04,0.0615521322969105,NORMAL,4,8,False
2014-08-05,0.0619494612297892,NORMAL,4,8,False
2014-08-06,0.0368921164684553,NORMAL,5,8,False
2014-08-07,0.0602006436885172,NORMAL,5,8,False
2014-08-08,0.027208551932589,NORMAL,4,8,False
2014-08-09,0.0422849874459115,NORMAL,4,8,False
2014-08-10,0.0568527133694798,NORMAL,4,8,False
2014-08-11,0.0543859957382431,NORMAL,4,8,False
2014-08-12,0.0469591036568861,NORMAL,4,8,False
2014-08-13,0.1217651606388662,NORMAL,5,8,False
2014-08-14,0.126988548916575,NORMAL,5,8,False
2014-08-15,0.198268448410446,NORMAL,4,8,False
2014-08-16,0.1762388416617399,NORMAL,4,8,False
2014-08-17,0.1481063176202715,NORMAL,4,8,False
2014-08-18,0.1681899375937919,NORMAL,4,8,False
2014-08-19,0.1409925426626609,NORMAL,4,8,False
2014-08-20,0.1350148779940774,NORMAL,5,8,False
2014-08-21,0.2342637290552228,NORMAL,5,8,False
2014-08-22,0.277694713766324,NORMAL,4,8,False
2014-08-23,0.2587690920479106,NORMAL,4,8,False
2014-08-24,0.3184827347326111,NORMAL,4,8,False
2014-08-25,0.3130152069777315,NORMAL,4,8,False
2014-08-26,0.2883469031905218,NORMAL,4,8,False
2014-08-27,0.2619028575855942,NORMAL,5,8,False
2014-08-28,0.318826886064187,NORMAL,5,8,False
2014-08-29,0.3023615181009979,NORMAL,4,8,False
2014-08-30,0.3205719770703573,NORMAL,4,8,False
2014-08-31,0.2991264831878054,NORMAL,4,8,False
2014-09-01,0.286801608087194,NORMAL,4,9,False
2014-09-02,0.2918841152005741,NORMAL,4,9,False
2014-09-03,0.251777077616483,NORMAL,5,9,False
2014-09-04,0.2511533987453069,NORMAL,5,9,False
2014-09-05,0.2041386049502282,NORMAL,4,9,False
2014-09-06,0.2237422092176203,NORMAL,4,9,False
2014-09-07,0.2195906729302396,NORMAL,4,9,False
2014-09-08,0.2245438507446685,NORMAL,4,9,False
2014-09-09,0.2108783910831075,NORMAL,4,9,False
2014-09-10,0.1700131505120455,NORMAL,5,9,False
2014-09-11,0.1712530747958981,NORMAL,5,9,False
2014-09-12,0.1686782233047488,NORMAL,4,9,False
