start,end,days,max_score,cause,rain_total_mm,pressure_change_hpa
2014-03-19,2014-03-23,5,0.9821361235689005,residual,0.0,2.04
2014-03-29,2014-04-01,4,0.6815980472017873,residual,0.2,1.93
2014-06-12,2014-06-17,6,0.7102212689424018,rainfall,32.8,2.78
2014-08-21,2014-08-26,6,1.0853032126662043,rainfall,63.6,0.3
2014-09-13,2014-09-16,4,0.7378336196632975,residual,12.2,0.98
2015-06-25,2015-06-30,6,1.2020954945392441,residual,18.5,4.98
2015-07-02,2015-07-07,6,0.7318068938994996,borderline,23.8,5.83
2015-10-08,2015-10-12,5,1.1307094004085614,rainfall,39.0,0.07
2016-01-08,2016-01-11,4,0.7168779929213779,residual,0.0,1.49
2017-05-18,2017-05-23,6,1.5401189971512073,borderline,20.6,5.33
2017-05-26,2017-05-30,5,1.1811590438191155,residual,5.0,5.8
2017-08-04,2017-08-07,4,1.8730121397593469,borderline,28.9,7.53
2018-02-07,2018-02-13,7,0.873684807197668,pressure,0.0,14.38
2018-04-11,2018-04-17,7,1.3809047958053424,residual,1.3,2.37
2018-05-17,2018-05-21,5,0.8792176035447661,borderline,0.7,9.96
2018-07-25,2018-07-31,7,3.401193868816844,rainfall,94.9,1.93
2018-08-25,2018-08-28,4,1.7413393950735603,rainfall,35.4,1.83
2018-08-30,2018-09-04,6,1.0927951037331112,rainfall,80.2,4.7
2018-12-06,2018-12-11,6,0.6229653260937011,borderline,0.0,7.83
2019-04-05,2019-04-08,4,1.5541800585599352,residual,12.3,5.54
2019-04-17,2019-04-23,7,1.0988085343177203,residual,5.8,0.61
2019-08-16,2019-08-21,6,2.0681346979671873,rainfall,41.8,2.81
2019-09-11,2019-09-14,4,1.8637945292865656,borderline,27.2,4.15
2019-12-28,2020-01-01,5,0.7900080701327281,residual,0.0,0.32
2021-05-08,2021-05-11,4,0.9684976853785923,rainfall,32.4,1.12
2021-06-09,2021-06-15,7,2.406813217689127,residual,10.8,5.3
2021-06-24,2021-06-28,5,1.0369639013294472,borderline,27.1,5.62
2023-02-19,2023-02-28,10,0.8403291560213866,residual,2.9,2.73
2023-04-28,2023-05-01,4,0.8839495740143173,borderline,10.6,8.5
2023-05-27,2023-05-30,4,1.2419544044359998,borderline,29.6,9.04
2023-07-26,2023-07-31,6,1.2746101943020993,rainfall,65.3,1.54
2023-11-17,2023-11-21,5,0.663255416631429,pressure,0.0,11.19
2023-11-30,2023-12-09,10,0.7573967045164473,borderline,0.0,7.67
2023-12-23,2023-12-26,4,0.7000098860154527,residual,0.0,3.36
2023-12-28,2024-01-02,6,0.7757251792714788,residual,0.0,3.62
2024-02-21,2024-02-24,4,0.8752217053145451,pressure,0.0,16.22
2024-07-21,2024-07-30,10,1.4551494425169462,rainfall,148.3,0.91
2025-02-19,2025-02-25,7,0.8652242081234485,borderline,0.0,10.48
2025-03-27,2025-03-31,5,0.5551518142553771,borderline,4.2,10.04
2025-08-13,2025-08-18,6,2.0651478378663484,residual,18.8,5.31
