start,end,days,max_score,cause,rain_total_mm,pressure_change_hpa
2014-05-30,2014-06-03,5,0.6921872428716914,borderline,25.2,7.8
2014-10-22,2014-10-26,5,0.9189482875179299,residual,1.2,2.02
2014-11-01,2014-11-04,4,0.7827305502213514,borderline,3.3,10.05
2014-12-10,2014-12-13,4,1.0309341528678633,residual,0.0,0.49
2015-03-25,2015-03-30,6,0.7485472941015916,residual,5.7,3.43
2015-07-02,2015-07-07,6,0.7545487323829646,borderline,23.8,5.83
2015-07-31,2015-08-08,9,0.9287828917118873,rainfall,74.6,3.05
2015-12-01,2015-12-04,4,1.12469452744515,pressure,0.0,16.98
2016-04-27,2016-04-30,4,0.5244240935099521,residual,0.0,3.28
2016-11-30,2016-12-03,4,1.4366209364250162,borderline,1.8,8.08
2017-05-20,2017-05-23,4,0.9501882908373509,borderline,19.4,9.62
2017-06-01,2017-06-06,6,1.2145586048077037,residual,5.4,1.73
2017-06-10,2017-06-13,4,1.2025537198264613,residual,9.7,5.65
2017-06-15,2017-06-20,6,0.8384294274891214,borderline,29.3,0.91
2017-06-23,2017-06-27,5,1.0376900255277408,rainfall,32.6,1.99
2017-07-15,2017-07-18,4,0.8483739302525541,rainfall,37.7,6.58
2018-02-28,2018-03-03,4,0.9995020129520447,pressure,0.0,15.96
2018-03-19,2018-03-24,6,0.9644458591709341,residual,0.0,3.29
2018-03-27,2018-03-30,4,1.1964501864062649,residual,0.0,1.43
2018-05-17,2018-05-22,6,1.0721565000571993,borderline,4.0,8.74
2018-05-26,2018-05-29,4,1.0609041451795471,residual,6.1,0.07
2018-06-08,2018-06-12,5,1.1024304334522403,residual,16.4,0.8
2018-12-15,2018-12-18,4,0.9604152004457475,pressure,0.0,16.8
2019-04-03,2019-04-06,4,0.8104404421815943,borderline,11.8,10.45
2019-09-13,2019-09-17,5,0.6897388340278885,rainfall,33.0,1.36
2020-10-10,2020-10-13,4,0.733759953914225,borderline,29.4,1.31
2020-12-03,2020-12-07,5,0.66715731360789,residual,0.0,6.89
2023-04-21,2023-04-24,4,0.7550926008698882,pressure,5.8,13.02
