start,end,days,max_score,cause,rain_total_mm,pressure_change_hpa
2017-08-10,2017-09-16,38,0.494087649123194,rainfall,41.4,8.28
2017-09-19,2017-09-27,9,0.48609355725968795,residual,12.1,5.8
2017-09-29,2017-10-19,21,0.5398767336230256,pressure,5.7,12.39
2017-10-21,2017-10-25,5,0.5459403744817094,residual,0.2,0.27
2017-11-01,2017-11-20,20,0.5535816880190803,residual,0.7,1.7
2017-11-23,2017-11-27,5,0.571562714578052,residual,0.0,2.42
2017-11-29,2017-12-19,21,0.5889977260405598,residual,0.0,6.45
2017-12-25,2018-01-16,23,0.6378814863602837,residual,0.0,2.05
2018-01-18,2018-03-22,64,0.7036041581630313,residual,0.0,0.4
2018-03-28,2018-04-24,28,0.7157752031993205,residual,9.0,2.56
2018-04-27,2018-06-25,60,0.7506212887182986,rainfall,77.1,7.34
2018-07-20,2018-08-16,28,0.8479187305239931,rainfall,132.3,4.42
2018-09-01,2018-09-19,19,0.6812192679083388,rainfall,92.1,0.83
2018-10-01,2018-10-13,13,0.5821233964490661,residual,1.2,1.33
2021-07-01,2021-07-14,14,0.5376428037329596,rainfall,65.0,0.34
2021-07-21,2021-07-31,11,0.5870413902256932,rainfall,34.0,6.42
2021-09-10,2021-09-13,4,0.6555395037400874,rainfall,32.8,2.21
2021-10-01,2021-10-10,10,0.5997826110759071,borderline,20.6,0.47
2021-11-08,2021-11-11,4,0.553198513603878,pressure,0.0,18.43
2024-11-25,2024-12-01,7,0.5657121354394715,pressure,9.2,19.32
2024-12-08,2024-12-23,16,0.5872338831554219,borderline,0.0,8.83
2024-12-25,2025-01-08,15,0.6123097582337227,residual,0.0,5.93
2025-01-11,2025-12-18,342,0.9114831532999984,rainfall,358.2,9.66
