start,end,days,max_score,cause,rain_total_mm,pressure_change_hpa
2014-10-23,2014-10-26,4,0.8156684067280073,residual,1.2,5.97
2014-11-01,2014-11-04,4,0.8263948995600351,borderline,3.3,10.05
2015-08-27,2015-09-01,6,0.7000727009542341,rainfall,118.4,1.46
2016-09-22,2016-09-25,4,0.9907251586782917,residual,15.3,4.64
2017-05-20,2017-05-23,4,1.2847093168092256,borderline,19.4,9.62
2017-06-01,2017-06-06,6,1.172143370251999,residual,5.4,1.73
2017-08-02,2017-08-08,7,1.5934685200034202,rainfall,34.7,7.28
2018-03-19,2018-03-22,4,0.5853040322835551,borderline,0.0,7.75
2018-03-27,2018-03-31,5,0.904119344202533,residual,0.0,1.11
2018-05-17,2018-05-22,6,1.0046664290075131,borderline,4.0,8.74
2018-09-08,2018-09-11,4,0.9719631616974238,mixed,41.1,16.92
2018-12-15,2018-12-18,4,0.8888386557447283,pressure,0.0,16.8
2019-01-23,2019-01-26,4,1.1068622630021487,residual,0.0,6.74
2019-07-17,2019-07-23,7,0.988510855749601,borderline,23.3,1.49
2020-06-05,2020-06-09,5,0.7945184717260981,borderline,24.1,4.56
2020-12-03,2020-12-08,6,0.8173827441769365,residual,0.0,6.86
2021-08-21,2021-08-24,4,1.1380072606384914,rainfall,34.8,10.18
2022-02-24,2022-02-27,4,0.8613282672768295,pressure,0.0,13.61
2023-03-23,2023-03-29,7,0.9922797763202638,residual,2.7,6.2
2023-04-21,2023-04-24,4,1.1326665525696045,pressure,5.8,13.02
2023-05-27,2023-05-30,4,1.0832510775056123,borderline,29.6,9.04
2023-06-10,2023-06-13,4,0.8597051059659604,residual,0.4,5.68
2023-12-09,2023-12-12,4,1.1391409336869522,pressure,0.0,21.14
2024-01-18,2024-01-21,4,0.8539552463230784,pressure,0.0,17.12
2024-03-27,2024-03-30,4,1.171152933491922,pressure,7.0,16.72
2025-05-21,2025-05-25,5,1.1843265326988603,borderline,19.6,9.9
