start,end,days,max_score,cause,rain_total_mm,pressure_change_hpa
2014-06-19,2014-06-24,6,0.6579776729872426,residual,0.0,2.63
2014-12-10,2014-12-13,4,0.9573282391922862,residual,0.0,0.49
2015-03-01,2015-03-04,4,0.4612901805952265,residual,0.0,2.92
2015-05-06,2015-05-09,4,2.64857508864829,borderline,20.8,2.66
2015-07-29,2015-08-01,4,0.8907945008115231,rainfall,51.3,5.9
2015-10-08,2015-10-11,4,1.1717320513892462,rainfall,39.0,1.14
2016-06-08,2016-06-14,7,1.4372660171649376,rainfall,75.1,3.46
2016-06-25,2016-06-28,4,1.0073461899652514,rainfall,79.2,3.31
2016-08-31,2016-09-05,6,1.2342178289434407,rainfall,32.4,6.32
2016-11-30,2016-12-03,4,1.444830022372274,borderline,1.8,8.08
2017-01-06,2017-01-09,4,0.739840806467232,residual,0.0,2.03
2017-04-22,2017-04-25,4,1.2417135441735134,residual,7.0,3.62
2017-05-19,2017-05-23,5,1.6607119480202697,borderline,20.4,7.81
2017-05-27,2017-05-30,4,1.6802903440698616,borderline,5.0,7.72
2017-06-02,2017-06-06,5,0.9321386383648176,residual,5.4,3.71
2017-08-24,2017-08-29,6,1.1696259423380897,borderline,6.0,7.68
2018-02-07,2018-02-13,7,1.4147175742921707,pressure,0.0,14.38
2018-02-28,2018-03-06,7,1.2816432886688007,borderline,0.0,7.84
2018-08-24,2018-08-28,5,1.1629419920127035,rainfall,35.7,1.6
2018-11-01,2018-11-06,6,1.00456807285709,pressure,0.5,15.18
2019-04-18,2019-04-23,6,1.0189876324050688,residual,5.8,4.01
2019-04-26,2019-04-30,5,0.9574768575885173,residual,0.0,0.18
2019-07-03,2019-07-09,7,1.270991297180803,rainfall,90.4,5.92
2020-01-24,2020-01-28,5,1.148150100016431,borderline,0.0,10.01
2020-03-05,2020-03-08,4,0.8939388906946728,residual,0.0,6.67
2020-07-24,2020-07-28,5,1.2043552590092694,residual,0.1,2.44
2020-11-19,2020-11-24,6,1.133734827768739,residual,1.1,2.19
2022-02-24,2022-02-27,4,0.7671479120113188,pressure,0.0,13.61
2022-08-04,2022-08-09,6,1.9476356675678543,rainfall,92.6,6.93
2023-01-18,2023-01-24,7,0.9501129775758358,residual,0.2,3.07
2023-01-28,2023-01-31,4,0.6609151686964255,borderline,0.0,9.6
2023-05-27,2023-05-30,4,1.3027140173123841,borderline,29.6,9.04
2023-08-18,2023-08-22,5,1.2234206221728636,rainfall,81.7,0.76
2023-10-05,2023-10-10,6,0.8081087007136672,pressure,23.3,11.77
2024-04-13,2024-04-16,4,0.9795203001057309,borderline,21.5,6.06
2024-04-27,2024-04-30,4,0.8809348404070674,residual,2.0,5.32
2024-11-27,2024-12-03,7,1.5251728674736684,pressure,9.2,13.49
2025-09-06,2025-09-09,4,0.5905954926695242,residual,1.4,4.92
2025-10-15,2025-10-21,7,1.090389336556093,residual,8.7,5.88
