metric,value,unit
daily_records,4748.0,days
hourly_records,113952.0,hours
water_level_min,29.55775,m
water_level_max,33.3362625,m
water_level_mean,31.607030417193208,m
pressure_min,962.2291666666666,hPa
pressure_max,1020.8708333333334,hPa
rainfall_max_hourly,38.7,mm/h
rainfall_positive_fraction,0.04481711597865768,-
secular_trend_first_to_last_year,-2.268845285388135,m
linear_trend_over_record,-1.1939102874683554,m
annual_amplitude_monthly_mean_range,0.4384324572649625,m
full_period_ridge_r_squared,0.3050648833422889,-
coefficient_rainfall_30d,0.08633311040646423,-
coefficient_pressure,0.049391975011431166,-
summer_pressure_coefficient,0.17960179128265752,-
winter_pressure_coefficient,0.025911120355719075,-
hourly_highpass_correlation,0.6749756049687431,-
hourly_highpass_slope,2.6758036460936827,mm/hPa
hourly_highpass_barometric_efficiency,0.26233369079349833,-
rolling_7day_barometric_mean,2.781275057622683,mm/hPa
rolling_7day_barometric_median,2.722776647302188,mm/hPa
