model,horizon_days,n,mae,rmse,picp80
RidgeOnly,1,1230,0.02659023707796466,0.03545584908558125,
RidgeOnly,7,1843,0.03531925484949744,0.047287317891577425,
RidgeOnly,14,1843,0.04620378047112563,0.062190322261173894,
RidgeOnly,30,1230,0.06985637993985663,0.09322329031403846,
TimesFMOnly,1,1230,0.013382022957323767,0.017451852010763425,86.58536585365853
TimesFMOnly,7,1843,0.023095719067661044,0.029562845544215743,84.64460119370591
TimesFMOnly,14,1843,0.03395160554750296,0.043982120089157355,79.1101465002713
TimesFMOnly,30,1230,0.0679391720738191,0.08987470824076155,76.01626016260163
FullFramework,1,1230,0.0038670810467603236,0.006808937015347177,83.73983739837398
FullFramework,7,1843,0.015253288951477066,0.02230408006776892,62.23548562126967
FullFramework,14,1843,0.02942326093222195,0.04137291144549952,42.2680412371134
FullFramework,30,1230,0.06120753779393418,0.08200340920207291,26.097560975609756
TimesFM_XReg,1,1230,0.0045251080173400625,0.006901146851666767,88.21138211382113
TimesFM_XReg,7,1843,0.012353093581631704,0.017057601378856563,81.33478024959305
TimesFM_XReg,14,1843,0.021942282912002013,0.030160683318822004,74.00976668475312
TimesFM_XReg,30,1230,0.04643804547896561,0.06501273624434036,61.951219512195124
SeasonalNaive,1,1230,0.5280544478319785,0.6293001093982677,
SeasonalNaive,7,1843,0.5283000158256469,0.6301879793575418,
SeasonalNaive,14,1843,0.5286624593054804,0.6307039100040692,
SeasonalNaive,30,1230,0.5294142513550137,0.6312165159367199,
LastValueNaive,1,1230,0.01457638211382106,0.01896393983480924,
LastValueNaive,7,1843,0.03126017589075776,0.03897196383508078,
LastValueNaive,14,1843,0.05174092060047023,0.06498641812195437,
LastValueNaive,30,1230,0.10064748306233064,0.1263598795052674,
