model,horizon_days,width_scale_factor
TimesFMOnly,1,0.8299117488040011
TimesFMOnly,2,0.8895415710728576
TimesFMOnly,3,0.8223403653551242
TimesFMOnly,4,0.8310777413043318
TimesFMOnly,5,0.8328326364926408
TimesFMOnly,6,0.9029620429522154
TimesFMOnly,7,0.89815964716496
TimesFMOnly,8,0.8163050235477729
TimesFMOnly,9,0.9164655467792469
TimesFMOnly,10,0.9020444444444711
TimesFMOnly,11,0.9909617660460928
TimesFMOnly,12,0.9121487506398569
TimesFMOnly,13,1.031478440029372
TimesFMOnly,14,0.9992774822470376
TimesFMOnly,15,1.0572942860105465
TimesFMOnly,16,1.0022169384747164
TimesFMOnly,17,0.9906745064168987
TimesFMOnly,18,1.031807287822324
TimesFMOnly,19,0.9784194863971325
TimesFMOnly,20,0.9915117063001773
TimesFMOnly,21,1.0356333918128553
TimesFMOnly,22,1.0502077245150923
TimesFMOnly,23,1.1141390969157352
TimesFMOnly,24,1.0923977621532264
TimesFMOnly,25,1.066526198131954
TimesFMOnly,26,1.0703981625644823
TimesFMOnly,27,1.0967967113937553
TimesFMOnly,28,1.0485202873112418
TimesFMOnly,29,1.0857686719595088
TimesFMOnly,30,1.0830110336199716
FullFramework,1,0.7217618943811954
FullFramework,2,1.0094004109125834
FullFramework,3,1.184560076595857
FullFramework,4,1.2180334190531061
FullFramework,5,1.3244071461862035
FullFramework,6,1.37678477200192
FullFramework,7,1.4604177751609755
FullFramework,8,1.4734968495425909
FullFramework,9,1.636100694403762
FullFramework,10,1.7172750142002253
FullFramework,11,1.8770578517154806
FullFramework,12,1.9397744372460495
FullFramework,13,2.025716474803798
FullFramework,14,2.057540317905924
FullFramework,15,2.2248981557277725
FullFramework,16,2.3031911813267723
FullFramework,17,2.428728764564662
FullFramework,18,2.563980909442664
FullFramework,19,2.5718228422352345
FullFramework,20,2.7011769952671436
FullFramework,21,2.809562443337506
FullFramework,22,2.9210946989118227
FullFramework,23,3.010519237801284
FullFramework,24,3.144991982200742
FullFramework,25,3.2206391885922283
FullFramework,26,3.2149696248393216
FullFramework,27,3.389961757959429
FullFramework,28,3.436754563085924
FullFramework,29,3.4889180648222142
FullFramework,30,3.581887841420322
TimesFM_XReg,1,0.7487090365046591
TimesFM_XReg,2,0.8301748928111277
TimesFM_XReg,3,0.87943891258575
TimesFM_XReg,4,0.8533782248300548
TimesFM_XReg,5,0.9305606971677711
TimesFM_XReg,6,0.9627214820873085
TimesFM_XReg,7,0.9407958277848707
TimesFM_XReg,8,0.991510820023787
TimesFM_XReg,9,1.027845983268028
TimesFM_XReg,10,1.0341298739869869
TimesFM_XReg,11,1.1184301948430564
TimesFM_XReg,12,1.0921419862862458
TimesFM_XReg,13,1.1782559928921317
TimesFM_XReg,14,1.1404424510624582
TimesFM_XReg,15,1.1759000968887667
TimesFM_XReg,16,1.2198527907994055
TimesFM_XReg,17,1.2065637812737555
TimesFM_XReg,18,1.2431070044707977
TimesFM_XReg,19,1.2625590912887228
TimesFM_XReg,20,1.2674898413235476
TimesFM_XReg,21,1.3412261631186655
TimesFM_XReg,22,1.3893558963511232
TimesFM_XReg,23,1.4096241849970856
TimesFM_XReg,24,1.4094398662808536
TimesFM_XReg,25,1.3716946629693725
TimesFM_XReg,26,1.4016449255751353
TimesFM_XReg,27,1.4743817711177134
TimesFM_XReg,28,1.4324239636569143
TimesFM_XReg,29,1.4350544348572751
TimesFM_XReg,30,1.4936636447247111
