id,feature,physical_meaning
f1,pressure,Instantaneous barometric loading (hPa)
f2,pressure_change_72h,3-day pressure change (hPa)
f3,pressure_lag_1d,Pressure lagged by 1 day (hPa)
f4,pressure_lag_3d,Pressure lagged by 3 days (hPa)
f5,rainfall,Contemporaneous rainfall (mm h-1)
f6,rainfall_3d,3-day cumulative rainfall (mm)
f7,rainfall_7d,7-day cumulative rainfall (mm)
f8,rainfall_30d,30-day cumulative rainfall (mm)
f9,trend,Centred linear trend (dimensionless)
f10,sin_annual,Annual sine harmonic
f11,cos_annual,Annual cosine harmonic
f12,sin_semiannual,Semi-annual sine harmonic
f13,cos_semiannual,Semi-annual cosine harmonic
